id,Sentence,Aspect Term,polarity,from,to
814,The food was absolutely amazing!!,food,positive,4,8
831,I must say it's a little pricey for the food because it was not as spectacular as the view.,food,negative,40,44
835,The food was very expensive (we spent $160 for lunch for two) but extremely tasty.,food,conflict,4,8
837,Why do people rave about the ambience.,ambience,negative,29,37
838,The aesthetics of this place are like an airport lounge.,ambience,negative,4,14
839,"Given the incredible architecture surrounding it, this place has no character.",ambience,positive,21,33
840,Food was OK - fish was cooked well.,food,neutral,0,4
842,"Service was decent, but not as smooth as I would expect from a place with these prices and reputation.",service,conflict,0,7
843,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,food,positive,64,68
843,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,service,positive,80,87
843,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,ambience,positive,102,112
844,No gimmicks here -- the food speaks for itself in its freshness and preparation.,food,positive,24,28
846,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",service,positive,4,11
856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",food,conflict,25,29
858,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,service,positive,0,7
863,The food was delicious but do not come here on a empty stomach.,food,conflict,4,8
864,The portions are small but being that the food was so good makes up for that.,food,positive,42,46
869,The ambience is authentic and relaxing and we have always received attentive and prompt service.,ambience,positive,4,12
869,The ambience is authentic and relaxing and we have always received attentive and prompt service.,service,positive,88,95
870,"In addition, the food is very good and the prices are reasonable.",food,positive,17,21
872,I would highly recommend this place to anyone looking for a casual atmosphere that whisks you away to the left bank of the river Seine.,ambience,positive,67,77
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambience,positive,10,18
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambience,positive,23,33
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",food,negative,50,54
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",service,negative,59,66
885,"While this is a pretty place in that overly cute French way, the food was insultingly horrible.",food,negative,65,69
891,The food itself was just ok - nothing spectacular - but the service was awful.,food,neutral,4,8
891,The food itself was just ok - nothing spectacular - but the service was awful.,service,negative,60,67
899,Food and service was okay.,food,neutral,0,4
899,Food and service was okay.,service,neutral,9,16
905,"Orsay, is a very pleasnt throw back to traditional French food, and French service as well.",food,positive,51,62
905,"Orsay, is a very pleasnt throw back to traditional French food, and French service as well.",service,positive,75,82
908,"Orsay, is without a doubt one of the best values for authentic French food in NYC.",food,positive,63,74
910,"Service was very good - prompt, attentive and non-intrusive.",service,positive,0,7
911,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",food,positive,0,4
916,The food was average or above including some surprising tasty dishes.,food,positive,4,8
917,Service was also very good.,service,positive,0,7
920,The food was good.,food,positive,4,8
922,but the service was a bit slow.,service,negative,8,15
925,The service was attentive.,service,positive,4,11
928,I care more about the food and ambience.,food,neutral,22,26
928,I care more about the food and ambience.,ambience,neutral,31,39
937,INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.,service,negative,16,23
937,INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.,food,negative,27,39
938,"I found the food, service and value exceptional everytime I have been there.",food,positive,12,16
938,"I found the food, service and value exceptional everytime I have been there.",service,positive,18,25
939,The food was authentic.,food,positive,4,8
941,The service was excellent - friendly and attentive.,service,positive,4,11
945,"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.",service,negative,84,91
953,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",food,negative,66,70
953,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",service,negative,160,167
956,The food was exceptional.,food,positive,4,8
957,"The menu consisted of standard brassiere food, better then places like Balthazar etc.",food,positive,31,45
959,The service was friendly and the atmosphere was casual.,service,positive,4,11
959,The service was friendly and the atmosphere was casual.,ambience,positive,33,43
967,"No food snobs allowed, this place is for people who appreciate good food.",food,neutral,3,7
967,"No food snobs allowed, this place is for people who appreciate good food.",food,positive,68,72
973,"Ambiance and music funky, which I enjoy.",ambience,positive,0,8
978,The food has been consistant for years and it never lets you down.,food,positive,4,8
979,The service is descent even when this small place is packed.,service,positive,4,11
988,The food is delicious.,food,positive,4,8
989,The service is fine and they allow you to enjoy the view.,service,positive,4,11
1000,"The food is good, especially their more basic dishes, and the drinks are delicious.",food,positive,4,8
1002,"The view is spectacular, and the food is great.",food,positive,33,37
1009,"The service was bad, the food took to forever to come, we sat on the upper level.",service,negative,4,11
1009,"The service was bad, the food took to forever to come, we sat on the upper level.",food,negative,25,29
1011,We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food.,food,positive,93,105
1014,The atmosphere is great!!!,ambience,positive,4,14
1017,sometimes i get good food and ok service.,food,positive,21,25
1017,sometimes i get good food and ok service.,service,neutral,33,40
1018,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",food,negative,20,24
1018,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",service,negative,33,40
1018,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",service,negative,76,83
1023,They've the best desserts and mixed drinks as well as snack foods.,food,positive,54,65
1030,"As far as the service goes, the waitresses were not particularly friendly, but they got the job done.",service,conflict,14,21
1031,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",service,negative,35,42
1031,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",food,positive,76,80
1031,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",ambience,positive,94,104
1032,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",service,positive,78,85
1034,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",service,positive,15,22
1037,"While the food was excellent, it wasn't cheap (though not extremely expensive either).",food,positive,10,14
1038,"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",service,neutral,4,11
1038,"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",ambience,negative,42,58
1040,"So, for good food i'd recommend it, but not for a fun night out.",food,positive,13,17
1050,"Not only is the cuisine the best around, the service has always been attentive and charming.",service,positive,45,52
1057,Drawbacks: service is slow and they don't toast!,service,negative,11,18
1061,Service is fast and friendly.,service,positive,0,7
1065,Nothing fancy but really good food with pretty reasonable price.,food,positive,30,34
1066,Other apetizers and food,food,neutral,20,24
1094,The food is amazing!!!!,food,positive,4,8
1095,The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!,food,positive,4,19
1096,This is definitely an  excellent date spot because of the ambiance and on the weekends the  night scene is more than alive.,ambience,positive,58,66
1100,"Both times I was extremely dissappointed by the service, which was boarderline rude.",service,negative,48,55
1127,I liked the food at this quasi-thai restaurant.,food,positive,12,16
1129,"The food was very good, but not very thai.",food,conflict,4,8
1140,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",food,positive,51,55
1158,"Good food at the restaurant (a bit expensive, but great if you want to impress your date).",food,positive,5,9
1162,"Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays.",ambience,positive,5,15
1163,The service is fantastic.,service,positive,4,11
1164,The food there is so good that even to order out the wait is incredible.,food,positive,4,8
1175,"Get your food to go, find a bench, and kick back with a plate of dumplings.",food,neutral,9,13
1181,"The place wasn't too hard to find, but it was kind of packed, as soon as my boyfriend and I got our food, the line reached the door.",food,neutral,100,104
1182,"The food is very good for it's price, better than most fried dumplings I've had.",food,positive,4,8
1188,"The food is great, service is ok.",food,positive,4,8
1188,"The food is great, service is ok.",service,neutral,19,26
1190,You have to increase the service a lot.,service,negative,25,32
1196,The service is awful--the last time I was there (and I do mean the last time) we were told that they needed our table so we would have to leave.,service,negative,4,11
1204,"Perhaps this food is considered extreme to an Upper East Side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull.",food,conflict,13,17
1204,"Perhaps this food is considered extreme to an Upper East Side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull.",food,negative,117,128
1206,The place is small and cramped but the food is fantastic.,food,positive,39,43
1213,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,service,negative,91,98
1213,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,food,negative,117,121
1218,"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?",ambience,negative,15,25
1232,big and soft as well as good lunch food.,food,positive,29,39
1269,Instead of wasting your time here: SUPPORT RESTAURANTS THAT CARE ABOUT FOOD.,food,neutral,71,75
1270,Plain and simple it's bad thai food.,food,negative,26,35
1271,"The red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",food,negative,117,124
1272,Don't eat here unless you're starving for thai food and you work next door.,food,negative,42,51
1281,Great atmoshere and worth every bit.,ambience,positive,6,15
1288,The owners and employees are friendly and their pizza is fantastic.,service,positive,15,24
1295,The counter service is bad.,service,negative,4,19
1301,The food was absolutely horrible!,food,negative,4,8
1302,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,food,negative,120,124
1302,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,service,negative,129,136
1304,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",food,neutral,68,72
1304,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",service,neutral,77,84
1305,"In fact, while leaving the place we saw two people looking at the menu, and I couldn't help telling them that the food was horrible.",food,negative,114,118
1316,"The food is o.k., but not any better than what you get at a good neighborhood restaurant.",food,neutral,4,8
1318,"It cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle.",ambience,negative,17,25
1321,Its an excellent place to relax and the food is one of the best in the city of New York.,food,positive,40,44
1326,They treated us well and the food was extremely fresh and well-prepared.,food,positive,29,33
1327,The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.,food,positive,53,60
1335,"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse.",food,positive,21,25
1335,"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse.",service,negative,67,74
1335,"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse.",service,negative,116,123
1338,"Bottom line: B+ for the food, F for the service.",food,positive,24,28
1338,"Bottom line: B+ for the food, F for the service.",service,negative,40,47
1341,Service was very friendly.,service,positive,0,7
1353,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible.",food,positive,7,16
1353,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible.",service,negative,74,81
1363,This food is asian-air fusion.,food,neutral,5,9
1366,"The drinks are a saving grace, but service staff, please, get over yourselves.",service,negative,35,48
1370,I'm still mad that i had to pay for lousy food.,food,negative,42,46
1372,Service was also horrible and the ambience is not that great.,service,negative,0,7
1372,Service was also horrible and the ambience is not that great.,ambience,negative,34,42
1378,I recieved prompt service with a smile.,service,positive,18,25
1384,Incredible food at a very agreable price brings me back just about every other day to this authentic Thai restaurant.,food,positive,11,15
1385,"Service is extraordinary, yet not overbearing, and the decor brings a taste of trendy SoHo into Queens.",service,positive,0,7
1386,"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine.",food,positive,4,8
1394,The atmosphere is much better than Sripraphai (more modern and sleek).,ambience,positive,4,14
1398,"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!",food,positive,10,14
1398,"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!",service,positive,26,33
1398,"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!",ambience,positive,48,58
1399,"The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.",food,positive,4,8
1402,I love Indian food and consider myself to be quite an expert on it.,food,positive,7,18
1411,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,positive,27,31
1415,"Disappointing food, lousy service.",food,negative,14,18
1415,"Disappointing food, lousy service.",service,negative,26,33
1424,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.",food,neutral,243,255
1429,Sauce was watery and the food didn't have much flavor.,food,negative,25,29
1430,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",food,neutral,16,20
1434,"If your favorite Chinese food is General Tao chicken, then this is NOT your place.",food,neutral,17,29
1435,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",food,positive,0,15
1438,"If you want Americanized Chinese food with your usual watery, generic white sauce, this is your place.",food,neutral,25,37
1439,They even have a section in the menu called American Chinese food!,food,negative,44,65
1441,"My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",food,negative,13,33
1456,"You can certainly find restaurants that offer a superior fine dining experience, but for superb food at reasonable prices, La Villa can't be beat.",food,positive,96,100
1465,"though the service could be better (possibly due to more than one very large group in the house), it is very cordial and warm, as is the general clientele.",service,conflict,11,18
1469,The pizza is yummy and I like the atmoshpere.,ambience,positive,34,44
1496,Turned out there was full service upstairs and sat down.,service,positive,26,33
1508,"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible.",service,negative,73,80
1518,"this is the best secret place in midtown', I heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last Tuesday.",food,positive,99,103
1528,I'm happy to have Nosh in the neighborhood and the food is very comforting.,food,positive,51,55
1530,I've overheard comments from him to his employees that should not have been delivered in the dining area and I've been sitting there while he lectured another customer.,service,negative,40,49
1535,"They might be all business at the counter when you give your order, but their food says I love you.",food,positive,78,82
1542,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,food,negative,37,41
1542,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,service,negative,90,99
1546,"Maybe I say so because it looked promising for people who like artery-clogging jewish deli food, but turns out to be poorly run and awful.",food,conflict,79,95
1548,"The food is terrible and overall, I would have to say avoid at all costs.",food,negative,4,8
1549,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,80,84
1549,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,152,156
1550,"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).",food,positive,114,118
1559,Food doesn't appear to be cooked on premisis but there's a high turnover so its pretty fresh.,food,conflict,0,4
1563,Authentic Pakistani food.,food,positive,10,24
1566,"Just straight up cheap, good food.",food,positive,29,33
1570,"The food however, is what one might expect.",food,neutral,4,8
1575,Our family never expected such incredible entertainment in a restaurant.,ambience,positive,42,55
1578,Our food was great too!,food,positive,4,8
1586,THE FOOD PORTIONS ARE REALLY LARGE.,food,positive,4,17
1594,The food was good too.,food,positive,4,8
1602,"Service is great, takeout is good too.",service,positive,0,7
1607,"The service is a bit slow, but harkens back to my years growing up in Napoli, Italy where things are not rushed and when you sit down for dinner the table is yours all night.",service,negative,4,11
1609,Service was quick.,service,positive,0,7
1621,Go to Volare for 1st class service and terrific food.,service,positive,27,34
1621,Go to Volare for 1st class service and terrific food.,food,positive,48,52
1624,The only thing more wonderful than the food (which is exceptional) is the service.,food,positive,39,43
1624,The only thing more wonderful than the food (which is exceptional) is the service.,service,positive,74,81
1627,"Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",service,positive,112,119
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive,4,8
1638,The prices are exceptionally reasonable for food of this caliber.,food,positive,44,48
1652,"Otherwise, this place has great service and prices and a nice friendly atmosphere.",service,positive,32,39
1652,"Otherwise, this place has great service and prices and a nice friendly atmosphere.",ambience,positive,71,81
1660,Stuffing yourself with Japanese food is a rare thing.,food,neutral,23,36
1664,Service was slow had to wait to order and get food although not crowded.,service,negative,0,7
1664,Service was slow had to wait to order and get food although not crowded.,food,neutral,46,50
1666,Food was good not great not worth the wait or another visit,food,conflict,0,4
1667,I've read some of the previews reviews - people are either not New Yorkers or have more appreciation for ambience then food.,ambience,neutral,105,113
1667,I've read some of the previews reviews - people are either not New Yorkers or have more appreciation for ambience then food.,food,neutral,119,123
1672,The food is awesome - definitely try the striped bass.,food,positive,4,8
1675,"For the quality of food, a little too expensive.",food,negative,8,23
1676,"You are paying for the atmosphere, which is nice, but can be had in numerous places in Bay Ridge.",ambience,conflict,23,33
1683,"The vibe is very relaxed and cozy, service was great and the food was excellent!",service,positive,35,42
1683,"The vibe is very relaxed and cozy, service was great and the food was excellent!",food,positive,61,65
1689,"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",food,negative,46,50
1689,"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",food,negative,80,95
1690,I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,food,negative,85,89
1691,Good food.,food,positive,5,9
1702,The food is reliable and the price is moderate.,food,positive,4,8
1704,One should not go to Lucky Strike for the food.,food,negative,42,46
1705,"While certain staples are excellent (the burger, some of the pastas), the food is not really the point.",food,neutral,74,78
1709,"Unfortunately, the food was NOT something to get worked up about.",food,negative,19,23
1710,"Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.",food,negative,137,141
1711,Diner food at bistro prices is a bummer....,food,negative,6,10
1713,"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!",ambience,positive,60,70
1713,"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!",food,positive,138,142
1718,"Great food, great decor, great service.",food,positive,6,10
1718,"Great food, great decor, great service.",service,positive,31,38
